X,Y,OBJECTID,Type,Detail_Type,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,name,Ownership,Management,Surface,Use_,Condition,Lat,Long
-83.47013203821615,42.684773221817487,6082,Campground,State Park,Pontiac,Oakland,Pontiac Lake Recreation Area,Modern,176,0,Pontiac Lake Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.68476501,-83.47012746
-83.482450239944441,42.686648935976166,6083,Campground,State Park,Pontiac,Oakland,Pontiac Lake Recreation Area,Organizational,1,0,Pontiac Lake Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.68664072,-83.48244566
-89.978802715099278,46.706197728483389,6084,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,50,0,Porcupine Mountains State Park Presque Isle,State,DNR,Dirt,Recreation,Unknown,46.70618926,-89.97879568
-89.640421345084476,46.824049308870471,6085,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Modern,101,0,Porcupine Mountains State Park Union Bay,State,DNR,Dirt,Recreation,Unknown,46.8240408,-89.6404144
-83.051935649329934,44.009846460179297,6086,Campground,State Park,Bay City,Huron,Port Crescent State Park,Modern,137,0,Port Crescent State Park  ,State,DNR,Dirt,Recreation,Unknown,44.009838,-83.05193107
-83.526116317100346,42.562616275419082,6087,Campground,State Park,Pontiac,Oakland,Proud Lake Recreation Area,Modern,128,0,Proud Lake Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.56260808,-83.52611174
-83.557108196333672,42.573814843985943,6088,Campground,State Park,Pontiac,Oakland,Proud Lake Recreation Area,Organizational,1,0,Proud Lake Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.57380665,-83.5571036
-83.517080124925684,42.563142228857743,6089,Campground,State Park,Pontiac,Oakland,Proud Lake Recreation Area,Organizational,1,0,Proud Lake Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.56313404,-83.51707555
-89.612686782217224,46.818363950192506,6090,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Group,10,0,Porcupine Mountains State Park  ,State,DNR,Dirt,Recreation,Unknown,46.81835544,-89.61267985
-89.679393136432353,46.753929362474089,6091,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,Porcupine Mountains State Park Lost Creek,State,DNR,Dirt,Recreation,Unknown,46.75392086,-89.67938619
-89.622519639543583,46.797820803568449,6092,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,Porcupine Mountains State Park Union River,State,DNR,Dirt,Recreation,Unknown,46.7978123,-89.6225127
